date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:19:10	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-644fb3cd-381ff04273ab26f3;gz%22	https://pepesui.ceo/assets/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/fonts/fontawesome-webfont3e6e.eot	(from https://pepesui.ceo/assets/css/font-awesome.min.css)
07:19:11	1833999/1833999	---MCZ	200	added ('OK')	image/svg+xml	etag:%221bfc0f-644fb3cd-95bac54892a58835;gz%22	https://pepesui.ceo/assets/fonts/bootstrapThemesCo-icon.svg?dcpptv	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/fonts/bootstrapThemesCo-icon9872.svg	(from https://pepesui.ceo/assets/css/iconfont.css)
07:19:13	421140/421140	---M--	200	added ('OK')	application/font-woff	etag:%2266d14-644fb3cd-1570133a697f009c;;;%22	https://pepesui.ceo/assets/fonts/bootstrapThemesCo-icon.woff?dcpptv	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/fonts/bootstrapThemesCo-icon9872.woff	(from https://pepesui.ceo/assets/css/iconfont.css)
07:19:13	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2212d68-644fb3cd-ec27cfca00ec995e;;;%22	https://pepesui.ceo/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://pepesui.ceo/assets/css/font-awesome.min.css)
07:19:13	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%2217ee8-644fb3cd-d0e795256e123d5f;;;%22	https://pepesui.ceo/assets/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/fonts/fontawesome-webfont3e6e.woff	(from https://pepesui.ceo/assets/css/font-awesome.min.css)
07:19:14	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-644fb3cd-381ff04273ab26f3;gz%22	https://pepesui.ceo/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/fonts/fontawesome-webfontd41d.eot	(from https://pepesui.ceo/assets/css/font-awesome.min.css)
07:19:14	165548/165548	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22286ac-644fb3cd-6cf524644aa5e757;gz%22	https://pepesui.ceo/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://pepesui.ceo/assets/css/font-awesome.min.css)
07:19:14	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-601c1030-31c09d7f291a142e;gz%22	https://pepesui.ceo/assets/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/fonts/glyphicons-halflings-regular.eot	(from https://pepesui.ceo/assets/css/bootstrap.min.css)
07:19:15	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-601c1030-31c09d7f291a142e;gz%22	https://pepesui.ceo/assets/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/fonts/glyphicons-halflings-regulard41d.eot	(from https://pepesui.ceo/assets/css/bootstrap.min.css)
07:19:16	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-601c1030-31c09d7f291a142e;gz%22	https://pepesui.ceo/assets/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/fonts/glyphicons-halflings-regular.woff	(from https://pepesui.ceo/assets/css/bootstrap.min.css)
07:19:16	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-601c1030-31c09d7f291a142e;gz%22	https://pepesui.ceo/assets/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/fonts/glyphicons-halflings-regular.ttf	(from https://pepesui.ceo/assets/css/bootstrap.min.css)
07:19:17	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-601c1030-31c09d7f291a142e;gz%22	https://pepesui.ceo/assets/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/fonts/glyphicons-halflings-regular.svg	(from https://pepesui.ceo/assets/css/bootstrap.min.css)
07:19:17	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	etag:%226c7db-644fb3cd-dd3a0419ac9c9d4b;gz%22	https://pepesui.ceo/assets/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/fonts/fontawesome-webfont3e6e.svg	(from https://pepesui.ceo/assets/css/font-awesome.min.css)
07:19:17	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-601c1030-31c09d7f291a142e;gz%22	https://pepesui.ceo/assets/images/overlay-img.png	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/images/overlay-img.png	(from https://pepesui.ceo/assets/css/style.css?v=1.0.2)
07:19:18	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-601c1030-31c09d7f291a142e;gz%22	https://pepesui.ceo/GET	C:/My%20Web%20Sites/pepesui/pepesui.ceo/GET	(from https://pepesui.ceo/assets/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js)
07:19:19	155621/155621	---M--	200	added ('OK')	image/png	etag:%2225fe5-644fb3cd-7a8ff05a9ef9726f;;;%22	https://pepesui.ceo/roadmap/04.png	C:/My%20Web%20Sites/pepesui/pepesui.ceo/roadmap/04.png	(from https://pepesui.ceo/)
07:19:21	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-601c1030-31c09d7f291a142e;gz%22	https://pepesui.ceo/Popover%20requires%20tooltip.js	C:/My%20Web%20Sites/pepesui/pepesui.ceo/Popover%20requires%20tooltip.4a.delayed	(from https://pepesui.ceo/assets/js/vendor/bootstrap.min.js)
07:19:38	3028525/3028525	---M--	200	added ('OK')	application/pdf	etag:%222e362d-644b5bf7-9145d98e884de0dd;;;%22	https://pepesui.ceo/PEPE_Whitepaper.pdf	C:/My%20Web%20Sites/pepesui/pepesui.ceo/PEPE_Whitepaper.pdf	(from https://pepesui.ceo/)
